english_meaning,arrernte_word,audio_url,all_audio_urls,,,,,,,,,,,,,,,,,
"in anger, angrily, fighting",ahe,https://arrernte-angkentye.online/ecall/audio/ahe_m.mp3,https://arrernte-angkentye.online/ecall/audio/ahe_m.mp3,,,,,,,,,,,,,,,,,
"in anger, angrily, fighting",ahele,https://arrernte-angkentye.online/ecall/audio/ahele.mp3,https://arrernte-angkentye.online/ecall/audio/ahele.mp3,,,,,,,,,,,,,,,,,
"aggressive, 'cheeky', angry",ahe-akngerre,https://arrernte-angkentye.online/ecall/audio/ahe-akngerre.mp3,https://arrernte-angkentye.online/ecall/audio/ahe-akngerre.mp3,,,,,,,,,,,,,,,,,
"be angry, get aggressive",ahele-irreme,https://arrernte-angkentye.online/ecall/audio/ahele-irreme.mp3,https://arrernte-angkentye.online/ecall/audio/ahele-irreme.mp3,,,,,,,,,,,,,,,,,
"ground, land, earth",ahelhe,https://arrernte-angkentye.online/ecall/audio/ahelhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/ahelhe_m.mp3,,,,,,,,,,,,,,,,,
throat,ahentye,https://arrernte-angkentye.online/ecall/audio/ahentye_m.mp3,https://arrernte-angkentye.online/ecall/audio/ahentye_m.mp3,,,,,,,,,,,,,,,,,
"wanting, liking (usually with aneme 'be')",ahentye,https://arrernte-angkentye.online/ecall/audio/ahentye_m.mp3,https://arrernte-angkentye.online/ecall/audio/ahentye_m.mp3,,,,,,,,,,,,,,,,,
red kangaroo,aherre,https://arrernte-angkentye.online/ecall/audio/aherre_m.mp3,https://arrernte-angkentye.online/ecall/audio/aherre_m.mp3,,,,,,,,,,,,,,,,,                                 
"bilby, rabbit-eared bandicoot",aherte,https://arrernte-angkentye.online/ecall/audio/aherte_m.mp3,https://arrernte-angkentye.online/ecall/audio/aherte_m.mp3,,,,,,,,,,,,,,,,,
to breathe,aheye-angkeme,https://arrernte-angkentye.online/ecall/audio/aheye-angkeme_m.mp3,https://arrernte-angkentye.online/ecall/audio/aheye-angkeme_m.mp3,,,,,,,,,,,,,,,,,
woma python,ahinenhe,https://arrernte-angkentye.online/ecall/audio/ahinenhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/ahinenhe_m.mp3,,,,,,,,,,,,,,,,,
"bite into, chew",akakweme,https://arrernte-angkentye.online/ecall/audio/akakweme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akakweme_m.mp3,,,,,,,,,,,,,,,,,
